大沼ID,Ｎｏ,大分類,中分類,機械名,大沼コード,マシンライフジャンルID,マシンライフジャンル名,
2,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ複合旋盤,0101-01,4,複合加工機,
3,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(背面複合),0101-11,1,NC旋盤,
4,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(背面加工),0101-12,1,NC旋盤,
5,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(ミル付),0101-21,1,NC旋盤,
6,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(バー仕様),0101-22,1,NC旋盤,
7,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣドラム型旋盤,0101-23,1,NC旋盤,
8,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(２ドラム),0101-31,1,NC旋盤,
9,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(２ヘッド),0101-41,1,NC旋盤,
10,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣフラット型旋盤,0101-51,1,NC旋盤,
11,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ櫛刃型旋盤,0101-61,1,NC旋盤,
12,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,NC自動盤(背面複合),0101-71,3,NC自動盤,
13,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,NC自動盤(背面付),0101-72,3,NC自動盤,
14,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,NC自動盤(ミル付),0101-73,3,NC自動盤,
15,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,NC自動盤,0101-74,3,NC自動盤,
16,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ多軸自動盤,0101-75,3,NC自動盤,
17,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ立型複合旋盤,0101-81,2,NC立旋盤,
18,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ立型旋盤,0101-82,2,NC立旋盤,
19,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,,0101-99,5,その他NC旋盤,
20,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,門型五面加工ﾏｼﾆﾝｸﾞ,0102-11,8,門型マシニング(5面),
21,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,門型マシニング,0102-12,8,門型マシニング(5面),
22,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,門型ジグセンター,0102-13,8,門型マシニング(5面),
23,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,        その他門型,0102-19,8,門型マシニング(5面),
24,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,立型マシニング,0102-21,6,立マシニング,
25,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,立型タップセンター,0102-22,12,ドリリング(タッピング)センター,
26,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,立型ドリルセンター,0102-23,12,ドリリング(タッピング)センター,
27,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,        その他立型,0102-29,12,ドリリング(タッピング)センター,
28,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横型五面加工ﾏｼﾆﾝｸﾞ,0102-31,7,横マシニング,
29,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横中ぐりマシニング,0102-32,7,横マシニング,
30,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横型マシニング,0102-33,7,横マシニング,
31,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横型タップセンター,0102-34,12,ドリリング(タッピング)センター,
32,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横型ドリルセンター,0102-35,12,ドリリング(タッピング)センター,
33,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,        その他横型,0102-39,12,ドリリング(タッピング)センター,
34,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,,0102-99,14,その他マシニング,
35,103,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣ立中ぐり盤,0103-11,38,NC立中ぐり盤,
36,103,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣ横中ぐり盤,0103-21,36,NC横中ぐり盤(フライス),
37,103,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣジグボーラー,0103-31,37,NCジグ中ぐり盤,
38,103,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,,0103-99,,,1
39,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣ鋼板穴明け機,0104-11,161,ドリルマシン(オートボーラー),
40,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣ多軸Ｈ鋼加工機,0104-21,161,ドリルマシン(オートボーラー),
41,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣラジアルボール,0104-31,88,ラジアルボール盤,
42,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣボール盤,0104-41,33,NCボール盤,
43,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,,0104-99,,,1
44,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,立型ｸﾞﾗﾌｧｲﾄ加工機,0105-11,10,グラファイト加工機,
45,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,横型ｸﾞﾗﾌｧｲﾄ加工機,0105-12,10,グラファイト加工機,
46,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,,0105-19,10,グラファイト加工機,
47,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,倣い付立マシニング,0105-21,6,立マシニング,
48,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,倣い付横マシニング,0105-22,7,横マシニング,
49,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,,0105-29,14,その他マシニング,1
50,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,倣い付NC立フライス,0105-31,15,NC立フライス,
51,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,倣い付NCﾗﾑ型ﾌﾗｲｽ,0105-33,15,NC立フライス,
52,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,倣い付NCﾀｰﾚｯﾄﾌﾗｲｽ,0105-34,15,NC立フライス,
53,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,倣い付NC横フライス,0105-36,16,NC横フライス,
54,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,,0105-39,192,その他NCフライス,1
55,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,NC倣い立型フライス,0105-41,15,NC立フライス,
56,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,NC倣いラム型ﾌﾗｲｽ,0105-43,15,NC立フライス,
57,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,NC倣いﾀｰﾚｯﾄﾌﾗｲｽ,0105-44,15,NC立フライス,
58,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,NC倣い横フライス,0105-46,16,NC横フライス,
59,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,,0105-49,192,その他NCフライス,1
60,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,デジタイジング機,0105-51,202,レイアウトマシン,
61,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,,0105-99,202,レイアウトマシン,1
62,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NC複合ﾌﾗｲｽ(ﾍﾞｯﾄﾞ),0106-11,17,NC複合フライス,
63,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NC万能ﾌﾗｲｽ(ﾍﾞｯﾄﾞ),0106-12,20,NC万能フライス,
64,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NC立中グリフライス,0106-13,15,NC立フライス,
65,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NC立フライス(ﾍﾞｯﾄ),0106-14,15,NC立フライス,
66,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NC立フライス(ヒザ),0106-24,15,NC立フライス,
67,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NC立フライス(多頭),0106-25,15,NC立フライス,
68,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,ＮＣラム型フライス,0106-34,15,NC立フライス,
69,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NCﾀｰﾚｯﾄﾌﾗｲｽ(複合),0106-41,15,NC立フライス,
70,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NCﾀｰﾚｯﾄﾌﾗｲｽ,0106-44,15,NC立フライス,
71,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NC横フライス(ﾍﾞｯﾄ),0106-51,16,NC横フライス,
72,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,NC横フライス(ヒザ),0106-52,16,NC横フライス,
73,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,ＮＣ両頭フライス,0106-61,21,NC両頭フライス,
74,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,,0106-71,192,その他NCフライス,
75,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,ＮＣ彫刻機,0106-81,22,NC彫刻機,
76,106,0106NCﾌﾗｲｽ･NC彫刻,0106 ：ＮＣフライス・ＮＣ彫刻機,,0106-99,22,NC彫刻機,
77,113,0113ＮＣ研削盤,0113-：ＮＣ研削盤・ＮＣその他,NCｱﾝｷﾞｭﾗ円筒研削盤,0113-11,27,NC円筒研削盤,
78,113,0113ＮＣ研削盤,0113-：ＮＣ研削盤・ＮＣその他,ＮＣ円筒研削盤,0113-12,27,NC円筒研削盤,
79,113,0113ＮＣ研削盤,0113-：ＮＣ研削盤・ＮＣその他,ＮＣ内面研削盤,0113-21,26,NC内面研削盤,
80,113,0113ＮＣ研削盤,0113-：ＮＣ研削盤・ＮＣその他,ＮＣ平面研削盤,0113-31,23,NC平面研削盤,
81,113,0113ＮＣ研削盤,0113-：ＮＣ研削盤・ＮＣその他,ＮＣロータリーＧ,0113-41,25,NCロータリー研削盤,
82,113,0113ＮＣ研削盤,0113-：ＮＣ研削盤・ＮＣその他,ＮＣセンターレスＧ,0113-43,28,NCセンタレス,
83,113,0113ＮＣ研削盤,0113-：ＮＣ研削盤・ＮＣその他,ＮＣジググラインダ,0113-61,30,NCジグ研削盤,
84,113,0113ＮＣ研削盤,0113-：ＮＣ研削盤・ＮＣその他,ＮＣプロファイルＧ,0113-71,29,NCプロファイル研削盤,
85,113,0113ＮＣ研削盤,0113-：ＮＣ研削盤・ＮＣその他,,0113-99,32,その他NC研削盤,
86,119,0119ＮＣ工作機械他,0113-：ＮＣ研削盤・ＮＣその他,ＮＣ工作機械その他,0119-01,43,その他NC工作機械,
87,119,0119ＮＣ工作機械他,0113-：ＮＣ研削盤・ＮＣその他,,0119-99,43,その他NC工作機械,
88,120,0120ＮＣ特殊加工機,0120 ：ＮＣ特殊加工機関係,ＮＣ放電加工機,0120-11,220,NC放電加工機,
89,120,0120ＮＣ特殊加工機,0120 ：ＮＣ特殊加工機関係,ＮＣ細穴加工機,0120-12,41,細穴加工機,
90,120,0120ＮＣ特殊加工機,0120 ：ＮＣ特殊加工機関係,ワイヤーカット,0120-21,40,ワイヤーカット,
91,120,0120ＮＣ特殊加工機,0120 ：ＮＣ特殊加工機関係,ＮＣレーザー加工機,0120-31,139,レーザー加工機,
92,120,0120ＮＣ特殊加工機,0120 ：ＮＣ特殊加工機関係,ＮＣタレットパンチ,0120-41,141,タレットパンチ,
93,120,0120ＮＣ特殊加工機,0120 ：ＮＣ特殊加工機関係,,0120-99,43,その他NC工作機械,1
94,０２,０２旋盤関係,0201 ：普通旋盤,普通旋盤（尺）,0201-01,52,旋盤,
95,０２,０２旋盤関係,0202-：正面旋盤・立旋盤,正面旋盤,0202-01,54,正面旋盤,
96,０２,０２旋盤関係,0202-：正面旋盤・立旋盤,立旋盤,0203-01,53,立旋盤,
97,０２,０２旋盤関係,0204 ：ターレット旋盤,自動タレット旋盤,0204-01,61,その他旋盤,
98,０２,０２旋盤関係,0205 ：卓上旋盤・ペンチレース,卓上タレット旋盤,0205-01,51,卓上旋盤,
99,０２,０２旋盤関係,0205 ：卓上旋盤・ペンチレース,ﾌﾟﾛｺﾝペンチレース,0205-02,56,プロコン旋盤,
100,０２,０２旋盤関係,0205 ：卓上旋盤・ペンチレース,ペンチレース,0205-03,51,卓上旋盤,
101,０２,０２旋盤関係,0206 ：単能機,単能機,0206-01,218,単能盤,
102,０２,０２旋盤関係,0207 ：自動盤,自動盤,0207-01,55,自動盤,
103,０２,０２旋盤関係,0207 ：自動盤,多軸自動盤,0207-02,55,自動盤,
104,０２,０２旋盤関係,0208-：旋盤関係その他,センタリングマシン,0208-01,123,センタリング,
105,０２,０２旋盤関係,0208-：旋盤関係その他,両端加工機,0209-01,58,両端加工機,
106,０２,０２旋盤関係,0208-：旋盤関係その他,ポリフィズマシン,0211-01,60,ポリゴンカット,
107,０２,０２旋盤関係,0208-：旋盤関係その他,ネジ切り旋盤,0212-01,52,旋盤,
108,０２,０２旋盤関係,0208-：旋盤関係その他,パイプネジ切り機,0212-02,169,パイプネジ切り機,
109,０２,０２旋盤関係,0208-：旋盤関係その他,面取り旋盤,0212-03,59,面取旋盤,
110,０２,０２旋盤関係,0208-：旋盤関係その他,倣い旋盤,0212-05,61,その他旋盤,
111,０２,０２旋盤関係,0208-：旋盤関係その他,ロール旋盤,0212-06,57,ロール旋盤,
112,０２,０２旋盤関係,0208-：旋盤関係その他,中グリ旋盤,0212-07,61,その他旋盤,
113,０２,０２旋盤関係,0208-：旋盤関係その他,クランクピン旋盤,0212-08,61,その他旋盤,
114,０２,０２旋盤関係,0208-：旋盤関係その他,単能旋盤,0212-09,61,その他旋盤,
115,０２,０２旋盤関係,0208-：旋盤関係その他,,0212-10,61,その他旋盤,
116,０２,０２転造盤関係,0213 ：ねじ転造盤関係,ネジ転造盤,0213-01,125,(ネジ)転造盤,
117,０２,０２転造盤関係,0213 ：ねじ転造盤関係,      その他転造盤,0214-01,125,(ネジ)転造盤,
118,０３,０３ボール盤,0300-：Ｈ鋼加工機・ラジアル,Ｈ形鋼穴明機,0301-01,161,ドリルマシン(オートボーラー),
119,０３,０３ボール盤,0300-：Ｈ鋼加工機・ラジアル,ガーターラジアル,0301-11,88,ラジアルボール盤,
120,０３,０３ボール盤,0300-：Ｈ鋼加工機・ラジアル,ラジアルボール盤,0301-12,88,ラジアルボール盤,
121,０３,０３ボール盤,0300-：Ｈ鋼加工機・ラジアル,ラジアル(ﾃｰﾌﾞﾙ型),0301-13,88,ラジアルボール盤,
122,０３,０３ボール盤,0300-：Ｈ鋼加工機・ラジアル,ラジアル(卓上型),0301-14,88,ラジアルボール盤,
123,０３,０３ボール盤,0300-：Ｈ鋼加工機・ラジアル,ラジアル(ﾌﾘｰｱｰﾑ型),0301-15,90,フリーボール盤,
124,０３,０３ボール盤,0302 ：直立ボール盤,直立ボール盤,0302-11,87,直立ボール盤,
125,０３,０３ボール盤,0302 ：直立ボール盤,直立角ﾃｰﾌﾞﾙﾎﾞｰﾙ盤,0302-12,87,直立ボール盤,
126,０３,０３ボール盤,0302 ：直立ボール盤,枝型ボール盤,0302-13,93,枝型ボール盤,
127,０３,０３ボール盤,0304 ：中型・卓上ボール盤,中型ｴｱﾒｰｼｮﾝﾎﾞｰﾙ盤,0304-11,86,卓上ボール盤,
128,０３,０３ボール盤,0304 ：中型・卓上ボール盤,中型自動ボール盤,0304-12,86,卓上ボール盤,
129,０３,０３ボール盤,0304 ：中型・卓上ボール盤,卓上自動ボール盤,0304-13,86,卓上ボール盤,
130,０３,０３ボール盤,0304 ：中型・卓上ボール盤,中型ﾀｯﾌﾟ&ボール盤,0304-21,86,卓上ボール盤,
131,０３,０３ボール盤,0304 ：中型・卓上ボール盤,卓上ﾀｯﾌﾟ&ボール盤,0304-22,86,卓上ボール盤,
132,０３,０３ボール盤,0304 ：中型・卓上ボール盤,中型ボール盤,0304-31,86,卓上ボール盤,
133,０３,０３ボール盤,0304 ：中型・卓上ボール盤,卓上ボール盤,0304-32,86,卓上ボール盤,
134,０３,０３ボール盤,0305 ：多軸ボール盤,多軸ボール盤,0305-11,89,多軸ボール盤・多軸タッピング,
135,０３,０３ボール盤,0311-：ボール盤関係その他,ガンドリルマシン,0311-11,35,NCガンドリル,
136,０３,０３ボール盤,0311-：ボール盤関係その他,深穴ボール盤,0311-12,91,深穴加工機(ガンドリル),
137,０３,０３ボール盤,0311-：ボール盤関係その他,多連ボール盤,0312-11,89,多軸ボール盤・多軸タッピング,
138,０３,０３ボール盤,0311-：ボール盤関係その他,タレットボール盤,0313-11,92,タレットボール盤,
139,０３,０３ボール盤,0311-：ボール盤関係その他,アトラ,0314-11,165,マグボール盤(アトラ),
140,０３,０３ボール盤,0311-：ボール盤関係その他,ﾄﾞﾘﾙﾕﾆｯﾄ,0315-11,95,その他ボール盤,
141,０３,０３ボール盤,0311-：ボール盤関係その他,,0399-99,95,その他ボール盤,
142,０４,０４タッピング盤,0401 ：単軸タッピングマシン,自動タッピング盤,0401-11,94,タッピング盤,
143,０４,０４タッピング盤,0401 ：単軸タッピングマシン,タッピングマシン,0401-22,94,タッピング盤,
144,０４,０４タッピング盤,0401 ：単軸タッピングマシン,,0401-99,94,タッピング盤,1
145,０４,０４タッピング盤,0402 ：多軸タッピングマシン,多軸タップ＆ボール,0402-11,89,多軸ボール盤・多軸タッピング,
146,０４,０４タッピング盤,0402 ：多軸タッピングマシン,多軸タッピング盤,0402-22,89,多軸ボール盤・多軸タッピング,
147,０４,０４タッピング盤,0402 ：多軸タッピングマシン,,0402-99,89,多軸ボール盤・多軸タッピング,1
148,０５,０５中ぐり盤,0501 ：横中ぐり盤関係,フロアー型横中グリ,0501-01,96,横中ぐり盤(フライス),
149,０５,０５中ぐり盤,0501 ：横中ぐり盤関係,テーブル型横中グリ,0501-02,96,横中ぐり盤(フライス),
150,０５,０５中ぐり盤,0501 ：横中ぐり盤関係,精密横中グリ盤,0501-03,96,横中ぐり盤(フライス),
151,０５,０５中ぐり盤,0501 ：横中ぐり盤関係,横中グリフライス盤,0501-04,96,横中ぐり盤(フライス),
152,０５,０５中ぐり盤,0501 ：横中ぐり盤関係,両頭横中グリ盤,0502-01,64,両頭フライス,
153,０５,０５中ぐり盤,0503-：立中ぐり・ジグボーラー,立中グリ盤,0503-01,98,立中ぐり盤(フライス),
154,０５,０５中ぐり盤,0503-：立中ぐり・ジグボーラー,ジグボーラー,0503-02,97,ジグ中ぐり盤,
155,０５,０５中ぐり盤,0503-：立中ぐり・ジグボーラー,その他中グリ盤,0504-01,99,その他中ぐり盤,
156,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,複合フライス(ﾍﾞｯﾄ),0601-11,68,複合フライス,
159,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,万能フライス(ﾍﾞｯﾄ),0601-12,66,万能フライス,
162,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,立フライス(中ぐり),0601-13,98,立中ぐり盤(フライス),
163,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,立フライス(ﾍﾞｯﾄ型),0601-14,62,立フライス,
157,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,複合フライス(ひざ),0601-21,68,複合フライス,
160,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,万能フライス(ひざ),0601-22,66,万能フライス,
164,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,立フライス(ひざ型),0601-24,62,立フライス,
158,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,複合フライス(小型),0601-31,68,複合フライス,
161,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,万能フライス(小型),0601-32,66,万能フライス,
165,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,立フライス　(小型),0601-34,62,立フライス,
166,０６,０６フライス盤,0601 ：立・万能・複合フライス盤,ドリルミラー,0601-35,62,立フライス,
