No,A カテゴリ,B カテゴリ,機種コード,Cカテゴリ　[中古機械情報百貨店],,,,
,,,'09-05-03,成形ライン,281,成形ライン,36,コイル加工ライン
,,,'09-05-04,パイプ成形ライン,282,パイプ成形ライン,36,コイル加工ライン
,,,'09-05-99,その他コイル加工ライン,283,その他コイル加工ライン,36,コイル加工ライン
,,その他板金機械,'09-99-00,,151,その他鈑金機械,23,その他鈑金機械
11,鉄骨加工機械,鉄骨切断機  ,'11-01-01,（幅 0mm〜）バンドソー,152,バンドソー,24,鉄骨切断機
,Structural Fabrication Machinery,Structural Fabrication Cutting Machine,'11-01-02,（300mm〜）バンドソー,152,バンドソー,24,鉄骨切断機
,,,'11-01-03,（500mm〜）バンドソー,152,バンドソー,24,鉄骨切断機
,,,'11-01-04,（1000mm〜・不明）バンドソー,152,バンドソー,24,鉄骨切断機
,,,'11-01-05,コンターマシン,153,コンターマシン,24,鉄骨切断機
,,,'11-01-06,弓鋸盤,154,弓鋸盤,24,鉄骨切断機
,,,'11-01-07,丸鋸盤（メタルソー）,155,丸鋸盤（メタルソー）,24,鉄骨切断機
,,,'11-01-08,アルミ切断機,156,アルミ切断機,24,鉄骨切断機
,,,'11-01-09,砥石切断機（高速・ファインカット）,157,砥石切断機（高速・ファインカット）,24,鉄骨切断機
,,,'11-01-10,パイプ切断機,158,パイプ切断機,24,鉄骨切断機
,,,'11-01-11,丸棒（鉄筋）切断機,160,その他鉄骨切断機,24,鉄骨切断機
,,,'11-01-99,その他鉄骨切断機,160,その他鉄骨切断機,24,鉄骨切断機
,,鉄骨加工機,'11-02-01,ドリルマシン（オートボーラー）,161,ドリルマシン（オートボーラー）,25,鉄骨加工機
,,Structural Fabrication Processing Machine,'11-02-02,開先機,162,開先加工機,25,鉄骨加工機
,,,'11-02-03,回転機（H鋼反転機・ターニングロール）,163,回転機（H鋼反転機・ターニングロール）,25,鉄骨加工機
,,,'11-02-04,ポジショナー,164,ポジショナー,25,鉄骨加工機
,,,'11-02-05,マグボール盤（アトラ）,165,マグボール盤（アトラ）,25,鉄骨加工機
,,,'11-02-06,アイアンワーカー（ビームワーカー・ユニットワーカー）,166,アイアンワーカー（ビームワーカー・ユニットワーカー）,25,鉄骨加工機
,,,'11-02-07,油圧パンチャー,167,油圧パンチャー,25,鉄骨加工機
,,,'11-02-08,ポンチング（マルチワーカー）,168,ポンチング（マルチワーカー）,25,鉄骨加工機
,,,'11-02-09,パイプネジ切機,169,パイプネジ切り機,25,鉄骨加工機
,,,'11-02-10,ショットブラスト（板・形鋼）,170,ショットブラスト（板・形鋼）,25,鉄骨加工機
,,,'11-02-11,鉄骨加工治具,171,その他鉄骨加工機,25,鉄骨加工機
,,鉄骨ベンダー,'11-04-01,パイプベンダー,180,パイプベンダー,27,鉄骨ベンダー
,,Structural Fabrication Bending Machine,'11-04-02,丸棒ベンダー（鉄筋）,181,丸棒ベンダー,27,鉄骨ベンダー
,,,'11-04-03,アングルベンダー,182,アングルベンダー,27,鉄骨ベンダー
,,,'11-04-04,万能曲げ機,183,万能曲げ機,27,鉄骨ベンダー
,,,'11-04-05,リングフォーマー,184,リングフォーマー,27,鉄骨ベンダー
,,,'11-04-99,その他鉄骨ベンダー,185,その他鉄骨ベンダー,27,鉄骨ベンダー
,,その他鉄骨加工機械,'11-99-00,,186,その他鉄骨加工機械,28,その他鉄骨加工機
13,プラスチック機械,射出成形機,'13-01-01,（0T〜）射出成形機,,,,
,Plastic Processing Machinery,Injection Molding Machine,'13-01-02,（10T〜）射出成形機,,,,
,,,'13-01-03,（100T〜）射出成形機,,,,
,,,'13-01-04,（1000T〜・不明）射出成形機,,,,
,,押出機・ペレタイザー,'13-02-00,,,,,
,,真空・中空成形機,'13-03-00,,,,,
,,成形機附帯,'13-04-01,粉砕機,,,,
,,Accessory ｆor Molding Machine,'13-04-02,乾燥機,,,,
,,,'13-04-03,金型温調器,,,,
,,,'13-04-04,取出し機,,,,
,,,'13-04-99,その他成形機附帯,,,,
,,印刷・ラミネート機械,'13-06-00,,,,,
,,その他プラスチック機械,'13-99-00,,,,,
15,化学機械,分離機,'15-01-01,遠心分離機,,,,
,Chemical Processing Machinery,Separator,'15-01-02,フィルタープレス,,,,
,,,'15-01-03,スクリュープレス,,,,
,,,'15-01-04,振動ふるい・スクリーン,,,,
,,,'15-01-05,脱水(油）機・濾過機,,,,
,,,'15-01-99,その他分離機,,,,
,,破砕・粉砕・製粉機,'15-02-00,,,,,
,,熱交換器,'15-03-00,,,,,
,,乾燥器,'15-04-00,,,,,
,,混合機 ,'15-05-01,ミキサー,,,,
,,Mixer / Kneader,'15-05-02,ニーダー,,,,
,,,'15-05-99,その他混合機,,,,
,,各種タンク,'15-06-01,反応缶,,,,
,,Tank,'15-06-02,SUSタンク,,,,
,,,'15-06-03,樹脂タンク,,,,
,,,'15-06-99,その他タンク,,,,
,,各種炉,'15-07-01,焼成炉,,,,
,,Furnace,'15-07-02,電気炉,,,,
,,,'15-07-03,トンネル炉,,,,
,,,'15-07-99,その他炉,,,,
,,ホッパー・コンベヤー・スクリーン,'15-08-00,,,,,
,,ゴム成型加工機,'15-09-00,,,,,
,,造粒機,'15-10-00,,,,,
,,温調器・恒温器,'15-11-00,,,,,
,,医薬生産機器,'15-12-01,カプセル充填機,,,,
,,,'15-12-02,打錠剤機,,,,
,,,'15-12-03,造粒機 (医薬用),,,,
,,,'15-12-04,混合機 (医薬用),,,,
,,,'15-12-05,コーティング装置,,,,
,,,'15-12-06,秤/検査機,,,,
,,,'15-12-99,その他医薬生産機器,,,,
,,その他化学機械,'15-99-01,計量・包装・充填機,,,,
,,Other Chemical Processing Machinery,'15-99-02,水処理装置・チラー,,,,
,,,'15-99-03,メッキ装置,,,,
,,,'15-99-99,その他化学機械,,,,
17,建設機械,油圧ショベル,'17-01-01,（〜0.2m3）ミニショベル,,,,
,Construction Machinery,Excavator,'17-01-02,（〜m3）油圧ショベル,,,,
,,ホイルローダー,'17-02-00,,,,,
,,ブルドーザー,'17-03-00,,,,,
,,舗装・道路機械,'17-04-01,フィニッシャー,,,,
,,Road Construction Machine,'17-04-02,ロードローラー,,,,
,,,'17-04-03,道路スイーパー,,,,
,,,'17-04-04,グレーダー,,,,
,,,'17-04-05,ロードスタビライザー,,,,
,,,'17-04-06,バイブレーター（振動ローラー、ランマー）,,,,
,,,'17-04-99,その他舗装・道路機械,,,,
,,特殊車輛,'17-05-01,高所作業車,,,,
,,Special Vehicle,'17-05-02,建柱車,,,,
,,,'17-05-03,散水車・給油車,,,,
,,,'17-05-04,パッカー車,,,,
,,,'17-05-05,ミキサー車,,,,
,,,'17-05-06,クローラーダンプ,,,,
,,,'17-05-07,セルフローダー,,,,
,,,'17-05-99,その他特殊車輛,,,,
,,移動クレーン,'17-06-01,（〜T）クローラークレーン,,,,
,,Mobile Crane,'17-06-02,（〜T）トラッククレーン,,,,
,,,'17-06-03,（〜T）ラフタークレーン,,,,
,,,'17-06-04,（〜T）クレーン船,,,,
,,,'17-06-99,その他移動クレーン,,,,
,,部品・アタッチメント,'17-07-01,油圧ショベル付属品,,,,
,,Tools / Attachments,'17-07-02,ブレーカー・小割機,,,,
,,,'17-07-03,鉄骨カッター,,,,
,,,'17-07-04,フォークグラブ,,,,
,,,'17-07-99,その他部品・アタッチメイント,,,,
,,リサイクル・環境機械,'17-08-01,クラッシャー・圧砕機,,,,
,,Recycling / Environmental Machinery,'17-08-02,木材破砕機,,,,
,,,'17-08-03,ホッパー・コンベアー・スクリーン,,,,
,,,'17-08-04,土質改良機,,,,
,,,'17-08-05,ロッドミル,,,,
,,,'17-08-99,その他リサイクル・環境機械,,,,
,,その他建設機械,'17-99-01,ボーリングマシン,,,,
,,Other Construction Machinery,'17-99-02,パイルカッター,,,,
,,,'17-99-03,削岩機,,,,
,,,'17-99-04,投光器,,,,
,,,'17-99-05,杭打機,,,,
,,,'17-99-06,作業船,,,,
,,,'17-99-99,その他建設機械,,,,
19,輸送・荷役機械,クレーン,'19-01-01,（〜T)天井走行クレーン,284,天井走行クレーン,37,クレーン
,Transporting & Handling Machinery,Crane ,'19-01-02,（〜T)門型クレーン,285,門型クレーン,37,クレーン
,,,'19-01-03,（〜T)ジブクレーン,286,ジブクレーン,37,クレーン
,,,'19-01-04,ユニッククレーン,287,ユニッククレーン,37,クレーン
,,,'19-01-99,その他クレーン,288,その他クレーン,37,クレーン
,,フォークリフト Forklift Truck,'19-02-01,（〜T）フォークリフト,289,フォークリフト,38,フォークリフト 
,,ホイスト Hoist,'19-03-01,（〜T）ホイスト,290,ホイスト,39,ホイスト 
,,チェーンブロック Chain Block,'19-04-01,（〜T）チェーンブロック,291,チェーンブロック,40,チェーンブロック 
,,ウインチ,'19-05-00,,292,ウインチ,41,ウインチ
,,リフター,'19-06-00,,293,リフター,42,リフター
,,トラック・ダンプ・トレーラー,'19-07-00,,294,トラック・ダンプ・トレーラー,43,トラック・ダンプ・トレーラー
,,船,'19-08-00,,297,その他輸送・荷役機械,46,その他輸送・荷役機械
,,コンベアー・フィーダー,'19-09-00,,297,その他輸送・荷役機械,46,その他輸送・荷役機械
,,その他輸送・荷役機械,'19-99-00,,297,その他輸送・荷役機械,46,その他輸送・荷役機械
21,測定工具・定盤・バイス,バイス,'21-01-00,,298,バイス,47,バイス
,Measuring Tools/Surface Plate/Vise,定盤,'21-02-01,（長辺0.00m〜）定盤,299,定盤,48,定盤
,,Surface Plate,'21-02-02,（1.00m〜）定盤,299,定盤,48,定盤
,,,'21-02-03,（2.00m〜）定盤,299,定盤,48,定盤
,,,'21-02-04,（3.00m〜・不明）定盤,299,定盤,48,定盤
,,,'21-02-05,イケール,300,イケール,48,定盤
,,測定工具,'21-03-01,ノギス,301,ノギス,61,測定工具
,,Measuring Tools,'21-03-02,マイクロメーター,302,マイクロメーター,61,測定工具
,,,'21-03-03,ブロックゲージ,303,ブロックゲージ,61,測定工具
,,,'21-03-04,ダイヤルゲージ,304,ダイヤルゲージ,61,測定工具
,,,'21-03-05,ハイトゲージ,305,ハイトゲージ,61,測定工具
,,,'21-03-06,ピンゲージ,306,ピンゲージ,61,測定工具
,,,'21-03-07,シリンダーゲージ,307,シリンダーゲージ,61,測定工具
,,,'21-03-08,リングゲージ,308,リングゲージ,61,測定工具
,,,'21-03-09,ネジゲージ,309,ネジゲージ,61,測定工具
,,,'21-03-10,テーパーゲージ,310,テーパーゲージ,61,測定工具
,,,'21-03-11,スコヤ(円筒・平面）,311,スコヤ(円筒・平面）,61,測定工具
,,,'21-03-12,ホールテスト,312,ホールテスト,61,測定工具
,,,'21-03-13,ホルダー・スタンド,313,ホルダー・スタンド,61,測定工具
,,,'21-03-99,その他測定工具,314,その他測定工具,61,測定工具
,,各種ブロック,'21-04-00,,315,各種ブロック,49,各種ブロック
23,測定器・試験機,測定器,'23-01-01,（電子）顕微鏡,199,(電子)顕微鏡,30,測定器
,Measuring / Testing Machinery,Measuring Machinery,'23-01-02,投影機,200,投影機,30,測定器
,,,'23-01-03,三次元測定機,201,三次元測定機,30,測定器
,,,'23-01-04,レイアウトマシン,202,レイアウトマシン,30,測定器
,,,'23-01-05,秤量器,203,秤量器,30,測定器
,,,'23-01-06,真円度測定器,204,真円度測定器,30,測定器
,,,'23-01-07,長さ・面積・体積測定器,205,長さ・面積・体積測定器,30,測定器
,,,'23-01-08,表面粗さ計・形状測定器,206,表面粗さ計・形状測定器,30,測定器
,,,'23-01-09,バランシングマシン,207,バランシングマシン,30,測定器
,,,'23-01-10,測量器（オートレベル）,208,測量機(オートレベル),30,測定器
,,,'23-01-99,その他測定器,209,その他測定器,30,測定器
,,材料試験機,'23-02-01,引張･圧縮試験機,210,引張・圧縮測定器,31,試験機
,,Material Testing Machinery,'23-02-02,衝撃試験機,211,衝撃試験機,31,試験機
,,,'23-02-03,硬度試験機,212,硬度試験機,31,試験機
,,,'23-02-99,その他材料試験機,213,その他材料試験機,31,試験機
25,木工機械,切断機・鋸盤,'25-01-01,木工鋸盤,,,,
,Woodworking Machinery,Woodworking Cutter / Saw,'25-01-02,木工パネルソー,,,,
,,,'25-01-03,木工テノーナー,,,,
,,,'25-01-99,その他木工切断機・鋸盤,,,,
,,切削機・鉋盤,'25-02-01,木工鉋盤,,,,
,,Woodworking Planing,'25-02-02,木工モルダー,,,,
,,,'25-02-03,木工面取機,,,,
,,,'25-02-04,木工旋盤,,,,
,,,'25-02-99,その他木工切削機・鉋盤,,,,
,,研磨機・サンダー,'25-03-01,木工サンダー,,,,
,,Woodworking Polisher / Sander,'25-03-02,木工ベルトサンダー,,,,
,,,'25-03-03,木工研磨機,,,,
,,,'25-03-99,その他木工研磨機,,,,
,,穴あけ・彫り機,'25-04-01,木工ボーリングマシン,,,,
,,Woodworking Boring / Carving,'25-04-02,ルーターマシン,,,,
,,,'25-04-03,彫り機,,,,
,,,'25-04-99,その他木工穴あけ・彫り機,,,,
,,プレス・貼り機,'25-05-01,木工プレス,,,,
,,Woodworking Press / Pasting,'25-05-02,糊付け機,,,,
,,,'25-05-99,その他木工プレス・貼り機,,,,
,,その他木工機械,'25-99-00,,,,,
27,モーター・発電機・受変電設備,モーター,'27-01-01,（〜kw）標準横型モーター,316,標準横型モーター,50,モーター
,Motor / Generator / Transformer,Motor,'27-01-02,（〜kw）巻線型モーター,317,巻線型モーター,50,モーター
,,,'27-01-03,（〜kw）ギアードモーター,318,ギアードモーター,50,モーター
,,,'27-01-04,（〜kw）VS モーター,319,VSモーター,50,モーター
,,,'27-01-05,（〜kw）インバーターモーター,320,インバーターモーター,50,モーター
,,,'27-01-06,（〜kw）直流モーター,321,直流モーター,50,モーター
,,,'27-01-99,その他モーター,322,その他モーター,50,モーター
,,発電機,'27-02-01,（〜kva）ガソリン発電機,323,ガソリン発電機,51,発電機
,,Generator,'27-02-02,（〜kva）ディーゼル発電機,324,ディーゼル発電機,51,発電機
,,,'27-02-03,（〜kva）タービン発電機,325,タービン発電機,51,発電機
,,,'27-02-99,その他発電機,326,その他発電機,51,発電機
,,受変電設備,'27-03-01,（〜kva）トランス,327,トランス,52,受変電設備
,,Transformer / Electrical Equipment,'27-03-02,キュービクル,328,キュービクル,52,受変電設備
,,,'27-03-03,コンデンサー,329,コンデンサー,52,受変電設備
,,,'27-03-99,その他受配電設備,330,その他受配電設備,52,受変電設備
,,その他電気設備,'27-99-01,周波数変換機,331,周波数変換機,53,その他電気設備
,,Other Electrical Equipments,'27-99-02,インバータ制御盤,332,インバータ制御盤,53,その他電気設備
,,,'27-99-03,仮設分電盤,333,仮設分電盤,53,その他電気設備
,,,'27-99-04,屋外高圧開閉器,334,屋外高圧開閉器,53,その他電気設備
,,,'27-99-05,仮設ケーブル,335,仮設ケーブル,53,その他電気設備
,,,'27-99-06,仮設照明器具,336,仮設照明器具,53,その他電気設備
,,,'27-99-99,その他電気設備,337,その他電気設備,53,その他電気設備
29,鉄製品製造設備,圧延設備,'29-01-01,圧延機,338,圧延機,54,圧延設備
,Steel Production Equipment,Rolling Plant,'29-01-02,レベラー,339,レベラー,54,圧延設備
,,,'29-01-03,板巻取機,340,板巻取機,54,圧延設備
,,,'29-01-04,切断機,341,切断機,54,圧延設備
,,,'29-01-05,圧延ライン　,342,圧延ライン　,54,圧延設備
,,,'29-01-06,減速機,343,減速機,54,圧延設備
,,,'29-01-99,その他圧延設備,344,その他圧延設備,54,圧延設備
,,鋳造機械,'29-02-01,溶解設備,345,溶解設備,55,鋳造機械
,,Casting Machinery,'29-02-02,混錬機械,346,混錬機械,55,鋳造機械
,,,'29-02-03,回収・再生機械,347,回収・再生機械,55,鋳造機械
,,,'29-02-04,造型機,348,造型機,55,鋳造機械
,,,'29-02-05,中子成型機械,349,中子成型機械,55,鋳造機械
,,,'29-02-06,取鍋,350,取鍋,55,鋳造機械
,,,'29-02-07,ショットブラスト（鋳物）,351,ショットブラスト,55,鋳造機械
,,,'29-02-99,その他鋳造機械,352,その他鋳造機械,55,鋳造機械
,,伸線機,'29-03-01,伸線機,353,伸線機,56,伸線機
,,Wire Machinery,'29-03-02,ドローベンチ,354,ドローベンチ,56,伸線機
,,,'29-03-03,スウェジングマシン,355,スウェジングマシン,56,伸線機
,,,'29-03-04,口付け機,356,口付け機,56,伸線機
,,,'29-03-05,巻線機,357,巻線機,56,伸線機
,,,'29-03-06,直線切断機,358,直線切断機,56,伸線機
,,,'29-03-99,その他伸線機,359,その他伸線機,56,伸線機
,,その他鉄製造設備,'29-99-00,,360,その他鉄製造設備,57,その他鉄製造設備
31,食品関連機器,素材加工装置,'31-01-00,,,,,
,Food Machinery,米飯加工,'31-02-00,,,,,
,,製菓・製パン加工,'31-03-00,,,,,
,,食品切断装置,'31-04-00,,,,,
,,加熱・冷却・冷凍機器,'31-05-00,,,,,
,,飲料製造装置,'31-06-00,,,,,
,,食品包装機械,'31-07-00,,,,,
,,食品洗浄装置,'31-08-00,,,,,
,,食品試験・分析・測定機器,'31-09-00,,,,,
,,食品搬送装置,'31-10-00,,,,,
,,その他食品関連機器,'31-99-00,,,,,
32,溶接機,アーク溶接機,'32-01-00,,172,アーク溶接機,26,溶接機
,Welding Machine,自動・半自動溶接機,'32-02-00,,173,自動・半自動溶接機（炭酸ガス）,26,溶接機
,,TIG溶接機,'32-03-00,,174,TIG溶接機（アルゴン）,26,溶接機
,,スポット溶接機,'32-04-00,,175,スポット溶接機,26,溶接機
,,スタッド溶接機,'32-05-00,,176,スタッド溶接機,26,溶接機
,,エンジン溶接機,'32-06-00,,177,エンジン溶接機,26,溶接機
,,YAG レーザー加工機（溶接機）,'32-07-00,,178,YAGレーザー加工機（溶接機）,26,溶接機
,,その他溶接機,'32-99-00,,179,その他溶接機,26,溶接機
33,コンプレッサー,エアーコンプレッサー,'33-01-01,（0kw〜）エアーコンプレッサー,191,エアーコンプレッサー,32,コンプレッサー
,Compressors,Air Compressor,'33-01-02,（10kw〜）エアーコンプレッサー,191,エアーコンプレッサー,32,コンプレッサー
,,,'33-01-03,（100kw〜・不明）エアーコンプレッサー,191,エアーコンプレッサー,32,コンプレッサー
,,エンジンコンプレッサー,'33-02-00,,214,エンジンコンプレッサー,32,コンプレッサー
,,コンプレッサー付属品,'33-03-01,エアータンク,215,エアータンク,32,コンプレッサー
,,Accessory for Compressor ,'33-03-02,エアードライヤー,216,エアードライヤー,32,コンプレッサー
,,,'33-03-99,その他コンプレッサー付属品,217,その他コンプレッサー付属品,32,コンプレッサー
35,各種ロボット,工作機械用ロボット,'35-01-00,,361,工作機械用ロボット,58,各種ロボット
,Robots,プレス用ロボット,'35-02-00,,362,プレス用ロボット,58,各種ロボット
,,溶接用ロボット,'35-03-00,,363,溶接用ロボット,58,各種ロボット
,,荷役用ロボット,'35-04-00,,364,荷役用ロボット,58,各種ロボット
,,製作ライン用ロボット,'35-05-00,,365,製作ライン用ロボット,58,各種ロボット
,,その他ロボット,'35-99-00,,366,その他ロボット,58,各種ロボット
35,空調機器,冷暖房機・エアコン,'37-01-00,,367,冷暖房機・エアコン,59,空調機器
,Air Conditioning Unit (Dust Collector),集塵機,'37-03-00,,368,集塵機,59,空調機器
,,ガス回収機,'37-04-00,,369,ガス回収機,59,空調機器
,,その他空調機器,'37-99-00,,370,その他空調機器,59,空調機器
99,その他機械,レーザーマーカー,'99-01-00,,371,レーザーマーカー,60,その他機械
,Other Machinery,ブロワー,'99-02-00,,372,ブロワー,60,その他機械
,,ボイラー,'99-03-00,,373,ボイラー,60,その他機械
,,刻印機,'99-04-00,,374,刻印機,60,その他機械
,,掃除機,'99-05-00,,375,掃除機,60,その他機械
,,油圧ユニット,'99-07-00,,376,油圧ユニット,60,その他機械
,,金属探知機(磁選機）,'99-08-00,,377,金属探知機(磁選機）,60,その他機械
,,梱包・結束機,'99-09-00,,378,梱包・結束機,60,その他機械
,,印刷機・コピー機,'99-10-00,,379,印刷機・コピー機,60,その他機械
,,ポンプ,'99-11-00,,380,ポンプ,60,その他機械
,,縫製機械,'99-12-00,,381,縫製機械,60,その他機械
,,棚・ストッカー,'99-13-00,,382,棚・ストッカー,60,その他機械
,,農業機械,'99-14-00,,383,農業機械,60,その他機械
,,バルブ,'99-15-00,,384,バルブ,60,その他機械
,,洗浄機 ,'99-16-00,,385,洗浄機 ,60,その他機械
,,ウォータージェットカッター,'99-17-00,,386,ウォータージェットカッター,60,その他機械
,,線材フォーミングマシン(バネ成形機）,'99-18-00,,387,線材フォーミングマシン(バネ成形機）,60,その他機械
,,繊維・綿機械,'99-19-00,,388,繊維・綿機械,60,その他機械
,,刺繍機械,'99-20-00,,389,刺繍機械,60,その他機械
,,その他機械,'99-99-00,,390,その他機械,60,その他機械
